,player_id,team_id,team_name,player_name,matches_played,cumulative_conceded,cumulative_claims,cumulative_saves,rate_conceded,rate_claims,rate_saves,percentile_rate_conceded,percentile_rate_claims,percentile_rate_saves,general_metric,general_metric_rank,player_role,cumulative_pass_value,cumulative_progressive,cumulative_tackle_value,cumulative_int_value,cumulative_block_value,cumulative_clearance_value,cumulative_rec_value,cumulative_g_duel_value,cumulative_a_duel_value,cumulative_cross_value,attempted_passes,attempted_tackles,attempted_ground_duels,attempted_aerial_duels,attempted_crosses,rate_progressive,rate_clearance_value,rate_rec_value,rate_int_value,rate_block_value,success_rate_tackles,success_rate_ground_duels,success_rate_aerial_duels,success_rate_passes,success_rate_crosses,percentile_success_rate_passes,percentile_success_rate_tackles,percentile_rate_int_value,percentile_rate_block_value,percentile_success_rate_ground_duels,percentile_success_rate_aerial_duels,percentile_rate_clearance_value,percentile_success_rate_crosses,percentile_rate_progressive,percentile_rate_rec_value,cumulative_key_pass_value,cumulative_dribble_value,cumulative_assist,cumulative_ground_duel_value,cumulative_aerial_duel_value,attempted_key_passes,attempted_dribbles,attempted_assists,rate_key_pass_value,rate_dribble_value,rate_assist,rate_ground_duels,rate_aerial_duels,rate_tackle_value,success_rate_key_passes,success_rate_dribbles,success_rate_assists,percentile_pass_value,percentile_progressive,percentile_key_pass_value,percentile_dribble_value,percentile_tackle_value,percentile_ground_duels,percentile_aerial_duels,percentile_assists,cumulative_is_goal,rate_goals,percentile_goals,cumulative_dribbles,cumulative_shots,cumulative_assists,cumulative_crosses,cumulative_ground_duels,cumulative_aerial_duels,attempted_shots,rate_dribbles,rate_shots,rate_assists,rate_crosses,success_rate_shots,percentile_dribbles,percentile_shots,percentile_crosses
193,659acfb66e6fd25aec31ca35,659a5b5c60ef819b1f78175f,Spartan FC,Muktar Ahmed,6,,,,,,,,,,1.9276349206349206,38.23529411764706,Left Back,67.0,46.0,5.0,0.0,7.0,11.0,0.0,1.0,2.0,4.0,90.0,7.0,1.0,2.0,10.0,7.666666666666667,1.8333333333333333,0.0,0.0,1.1666666666666667,0.7142857142857143,1.0,1.0,0.7444444444444445,0.4,45.588235294117645,46.32352941176471,50.73529411764706,91.17647058823529,88.97058823529412,85.29411764705883,23.52941176470588,88.97058823529412,23.52941176470588,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,66fed390d819b51c5d3dba35,66f694867a1857b62e329ea2,Jnr Danburam FC,Sanusi Sani,3,,,,,,,,,,1.8946396396396394,36.76470588235294,Left Back,27.0,26.0,7.0,0.0,0.0,9.0,0.0,0.0,3.0,1.0,37.0,7.0,1.0,3.0,6.0,8.666666666666666,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7297297297297297,0.16666666666666666,33.82352941176471,88.97058823529412,50.73529411764706,19.11764705882353,32.35294117647059,85.29411764705883,45.588235294117645,44.85294117647059,36.029411764705884,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,65ee3aa7c1d4f4a38095de0a,65ee37bea68897425d08ff24,Abia Warriors FC U-17,Prince Okeugo,3,,,,,,,,,,1.8833333333333333,35.294117647058826,Left Back,22.0,25.0,2.0,0.0,2.0,7.0,0.0,1.0,1.0,2.0,30.0,3.0,1.0,3.0,6.0,8.333333333333334,2.3333333333333335,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.7333333333333333,0.3333333333333333,41.911764705882355,38.23529411764706,50.73529411764706,74.26470588235294,88.97058823529412,24.264705882352942,33.82352941176471,81.61764705882352,32.35294117647059,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,6666cfd3669740586ad3ad10,6357f48c3db37335f7e60ef6,Positive Football Academy,Jamiu Kareem,6,,,,,,,,,,1.8666530679750815,33.82352941176471,Left Back,41.0,48.0,7.0,0.0,1.0,19.0,0.0,1.0,8.0,2.0,97.0,8.0,1.0,11.0,17.0,8.0,3.1666666666666665,0.0,0.0,0.16666666666666666,0.875,1.0,0.7272727272727273,0.422680412371134,0.11764705882352941,1.4705882352941175,72.05882352941177,50.73529411764706,40.44117647058824,88.97058823529412,55.88235294117647,50.0,33.82352941176471,26.47058823529412,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,65b8927d018c3bfa0948d351,65aae2df7c1f3f9c7c3fda80,Box2Box FC,Issa Saheed,7,,,,,,,,,,1.84018315018315,32.35294117647059,Left Back,107.0,68.0,2.0,0.0,1.0,6.0,0.0,0.0,4.0,1.0,117.0,4.0,0.0,5.0,9.0,9.714285714285714,0.8571428571428571,0.0,0.0,0.14285714285714285,0.5,0.0,0.8,0.9145299145299145,0.1111111111111111,100.0,19.11764705882353,50.73529411764706,38.23529411764706,32.35294117647059,68.38235294117648,10.294117647058822,32.35294117647059,41.17647058823529,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,6600f811ae6de88085e3525f,65ebc3c9a6760f66b4f05c6d,Brave football academy intl,jamiu fasasi,7,,,,,,,,,,1.808651749856569,30.88235294117647,Left Back,72.0,60.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,83.0,1.0,0.0,2.0,6.0,8.571428571428571,0.2857142857142857,0.0,0.0,0.2857142857142857,1.0,0.0,1.0,0.8674698795180723,0.3333333333333333,95.58823529411765,88.97058823529412,50.73529411764706,47.794117647058826,32.35294117647059,85.29411764705883,2.941176470588235,81.61764705882352,33.82352941176471,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,66215b58f7ff9845fb52cbaf,65edf5f8c1d4f4a38095d87e,B.E ARENA FA,Utibe Umoh,3,,,,,,,,,,1.7637641509433961,29.411764705882355,Left Back,33.0,22.0,5.0,0.0,2.0,2.0,0.0,6.0,1.0,3.0,53.0,5.0,8.0,1.0,10.0,7.333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.75,1.0,0.6226415094339622,0.3,13.23529411764706,88.97058823529412,50.73529411764706,74.26470588235294,76.47058823529412,85.29411764705883,6.61764705882353,74.26470588235294,20.588235294117645,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,670d9256171ff776ee9b3055,66f696557a1857b62e329ed6,Mamba Pro FC,David Ahmed,3,,,,,,,,,,1.750224867724868,27.941176470588236,Left Back,43.0,28.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,54.0,7.0,1.0,1.0,8.0,9.333333333333334,1.3333333333333333,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.7962962962962963,0.25,69.11764705882352,66.91176470588235,50.73529411764706,19.11764705882353,32.35294117647059,11.029411764705882,15.441176470588236,62.5,39.705882352941174,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,66aac46bd28c11703b6a1ab3,66aac38cd28c11703b6a1a87,Unicorn FC,Ridwan Isiaka,4,,,,,,,,,,1.700462962962963,26.47058823529412,Left Back,34.0,33.0,0.0,0.0,3.0,14.0,0.0,0.0,3.0,0.0,54.0,1.0,0.0,3.0,8.0,8.25,3.5,0.0,0.0,0.75,0.0,0.0,1.0,0.6296296296296297,0.0,16.176470588235293,3.6764705882352944,50.73529411764706,80.88235294117648,32.35294117647059,85.29411764705883,55.88235294117647,16.176470588235293,30.88235294117647,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,66f14eef88a1e74e94ca87e1,66f14b0988a1e74e94ca8751,Global Peace FC,Andrew Lapanda,3,,,,,,,,,,1.6899999999999997,25.0,Left Back,33.0,26.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,45.0,4.0,0.0,1.0,5.0,8.666666666666666,1.3333333333333333,0.0,0.0,0.0,0.5,0.0,1.0,0.7333333333333333,0.0,41.911764705882355,19.11764705882353,50.73529411764706,19.11764705882353,32.35294117647059,85.29411764705883,15.441176470588236,16.176470588235293,36.029411764705884,50.73529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
