,player_id,team_id,team_name,player_name,level_y,country_y,matches_played,cumulative_conceded,cumulative_pass_value,cumulative_claims,cumulative_saves,attempted_passes,level_weight,rate_conceded,rate_claims,rate_saves,success_rate_passes,percentile_rate_conceded,percentile_rate_claims,percentile_rate_saves,percentile_pass_success,general_metric,general_metric_rank,player_role,cumulative_progressive,cumulative_tackle_value,cumulative_int_value,cumulative_block_value,cumulative_clearance_value,cumulative_rec_value,cumulative_g_duel_value,cumulative_a_duel_value,cumulative_cross_value,cumulative_shots,cumulative_is_goal,cumulative_progressivecv,cumulative_key_pass_value,cumulative_dribble_value,cumulative_assist,attempted_tackles,attempted_ground_duels,attempted_aerial_duels,attempted_crosses,attempted_dribbles,attempted_shots,rate_progressive,rate_progressive_carries,rate_clearance_value,rate_rec_value,rate_int_value,rate_block_value,rate_carries,success_rate_tackles,success_rate_ground_duels,success_rate_aerial_duels,success_rate_crosses,success_rate_dribbles,shot_accuracy,percentile_success_rate_passes,percentile_success_rate_tackles,percentile_rate_int_value,percentile_rate_block_value,percentile_success_rate_ground_duels,percentile_success_rate_aerial_duels,percentile_rate_clearance_value,percentile_success_rate_crosses,percentile_rate_progressive,percentile_rate_rec_value,cumulative_ground_duel_value,cumulative_aerial_duel_value,attempted_key_passes,attempted_assists,rate_key_pass_value,rate_dribble_value,rate_assist,rate_ground_duels,rate_aerial_duels,rate_tackle_value,success_rate_key_passes,success_rate_assists,percentile_pass_value,percentile_progressive,percentile_key_pass_value,percentile_dribble_value,percentile_tackle_value,percentile_ground_duels,percentile_aerial_duels,percentile_assists,rate_goals,percentile_goals,cumulative_dribbles,cumulative_assists,cumulative_crosses,cumulative_ground_duels,cumulative_aerial_duels,rate_dribbles,rate_shots,rate_assists,rate_crosses,success_rate_shots,percentile_dribbles,percentile_shots,percentile_crosses
1010,65fc32d6043ab4ea21f87966,658d1ccd07b7d286330cdd16,LEAL SC,ALAGA MUSA,Under 21,Nigeria,6,,190.0,,,212.0,0.8,,,,0.8962264150943396,,,,,3.6330314465408806,93.73996789727127,Center Back,146.0,8.0,29.0,3.0,14.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,10.0,1.0,5.0,0.0,2.0,0.0,24.333333333333332,0.0,2.3333333333333335,0.0,4.833333333333333,0.5,0.0,0.8,0.0,0.8,0.0,1.0,0.0,85.23274478330659,54.09309791332263,88.76404494382022,60.91492776886035,35.63402889245586,67.89727126805778,43.01765650080257,42.45585874799358,94.3820224719101,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,66f2fcd380eae49617d201b1,65e698f8910a6d54ed319076,Bucknor FC/Academy,AMAECHI OKAFOR,Under 23,Nigeria,1,,52.0,,,55.0,0.9,,,,0.9454545454545454,,,,,5.0350909090909095,99.03691813804173,"Center Back,Central Midfielder,Attacking Midfielder,Defensive Midfielder",35.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,92.29534510433388,83.22632423756019,54.01284109149278,82.5040128410915,90.4494382022472,19.903691813804173,37.479935794542534,42.45585874799358,98.95666131621188,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,660f2a364e080294e44d700c,660ecab44e080294e44d67f7,Zion Liberty FC,ANAYO EMEYEONU,-,Nigeria,7,,,,,,0.0,,,,,,,,,0.0,48.33948339483395,Right Winger,,,,,,,,,,2.0,0.0,0.0,4.0,,,,2.0,0.0,12.0,5.0,7.0,,0.0,,,,,,,0.5,0.0,0.08333333333333333,1.0,,,,,,,,,,,,,,,,0.5714285714285714,,,0.14285714285714285,0.0,,,,,,79.70479704797047,,,77.30627306273063,34.87084870848708,83.94833948339483,0.0,38.00738007380074,5.0,1.0,1.0,1.0,0.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,85.42435424354244,57.93357933579336,64.57564575645756
2821,66432528c87610d31e766aaa,663a1fbe05bec6a6f17ed1a4,NSOATREMAN FOOTBALL CLUB,APETORGBOR FOSTER,First Team,Ghana,3,,,,,,1.0,,,,,,,,,0.67,96.875,"Left Winger,Right Winger",,,,,,,,,,0.0,0.0,1.0,2.0,,,,1.0,3.0,5.0,3.0,2.0,,0.3333333333333333,,,,,,,1.0,1.0,0.4,1.0,,,,,,,,,,,,,,,,0.6666666666666666,,,0.3333333333333333,1.0,,,,,,83.0965909090909,,,94.0340909090909,92.04545454545455,94.31818181818183,0.0,34.80113636363637,3.0,1.0,2.0,1.0,3.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,85.79545454545455,24.289772727272727,85.9375
1228,65b8ff254d72ca5aa03e7b98,6582efea4a4a5cea4b3e55d3,ACCRA ATHLETIC FOOTBALL CLUB,AUGUSTINE BANNOR,First Team,Ghana,1,,7.0,,,12.0,1.0,,,,0.5833333333333334,,,,,2.033333333333333,58.74799357945425,"Center Back,Right Back",5.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,12.520064205457466,13.402889245585875,97.27126805778491,21.187800963081862,35.63402889245586,48.87640449438202,37.479935794542534,42.45585874799358,22.792937399678973,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,660f29c74e080294e44d6ff6,660ecab44e080294e44d67f7,Zion Liberty FC,AUGUSTINE CHINECHEREM,-,Nigeria,1,,0.0,,,1.0,1.0,,,,0.0,,,,,0.0,1.2,Attacking Midfielder,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.0,29.86666666666667,27.866666666666667,18.0,36.8,33.2,41.86666666666667,0.0,39.86666666666667,,,,,,,,,,,,,
1638,660f29c74e080294e44d6ff6,660ecab44e080294e44d67f7,Zion Liberty FC,AUGUSTINE CHINECHEREM,-,Nigeria,10,,171.0,,,269.0,1.0,,,,0.6356877323420075,,,,,2.2574546091266634,87.2463768115942,Defensive Midfielder,110.0,20.0,31.0,,,,,,,1.0,0.0,1.0,5.0,7.0,0.0,23.0,2.0,6.0,,7.0,0.0,11.0,0.1,,,3.1,,,0.8695652173913043,0.5,0.8333333333333334,,1.0,0.0,,,,,,,,,,,1.0,5.0,0.0,0.0,0.5,0.7,0.0,0.1,0.5,2.0,0.0,0.0,13.623188405797102,61.01449275362319,85.3623188405797,81.73913043478261,72.7536231884058,71.30434782608695,73.91304347826086,,,,,,,,,,,,,,,,
1295,66d9ce6e4b75662e744385ee,66d9b8174b75662e74438091,JUSTJOHN FC,AYOBAMI GBOLAHAN TANIMOLA,Under 19,Nigeria,3,,28.0,,,36.0,0.7,,,,0.7777777777777778,,,,,1.7426111111111113,47.99357945425361,"Center Back,Right Back",22.0,6.0,7.0,3.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,4.0,0.0,2.0,0.0,7.333333333333333,0.0,6.333333333333333,0.0,2.3333333333333335,1.0,0.0,0.75,1.0,0.5,0.0,1.0,0.0,47.03049759229535,49.036918138041734,61.63723916532905,82.5040128410915,90.4494382022472,48.87640449438202,87.31942215088283,42.45585874799358,33.386837881219904,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,66d9d7104b75662e74438733,66d9b8174b75662e74438091,JUSTJOHN FC,AYODELE DAMILOLA MARTINS,Under 19,Nigeria,1,,1.0,,,3.0,0.7,,,,0.3333333333333333,,,,,0.2053333333333333,3.5313001605136436,"Center Back,Right Back",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.086677367576244,13.402889245585875,7.223113964686998,21.187800963081862,35.63402889245586,19.903691813804173,5.617977528089887,42.45585874799358,9.71107544141252,50.08025682182986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,659ee5c5472dd636329deda8,63ea77a4ebc7c4362fd4947f,Atlantic Business FC,Aaron Inyam-Ajang,Under 21,Nigeria,2,,72.0,,,86.0,0.8,,,,0.8372093023255814,,,,,2.129798449612403,82.02898550724638,Defensive Midfielder,28.0,4.0,5.0,,,,,,,0.0,0.0,5.0,0.0,3.0,0.0,9.0,1.0,8.0,,3.0,0.0,14.0,2.5,,,2.5,,,0.4444444444444444,1.0,0.5,,1.0,0.0,,,,,,,,,,,1.0,4.0,0.0,0.0,0.0,1.5,0.0,0.5,2.0,2.0,0.0,0.0,68.98550724637681,78.55072463768116,33.18840579710145,81.73913043478261,32.608695652173914,90.28985507246377,57.68115942028985,,,,,,,,,,,,,,,,
